Название|Цена|Адрес|Ссылка
1-комн. квартира, 32,1 м², 8/12 этаж Секция 1 • Сдача корпуса 2 кв. 2028|5 490 000 ₽|Новосибирская область, Новосибирск, р-н Заельцовский, м. Заельцовская, Аэропорт мкр|https://novosibirsk.cian.ru/sale/flat/314064651/
Квартира с шикарной террасой 2-комн. квартира, 76,4 м², 1/6 этаж|23 800 000 ₽|Новосибирская область, Новосибирск, р-н Заельцовский, м. Заельцовская, Дачное шоссе, 22|https://novosibirsk.cian.ru/sale/flat/302763229/
1-комн. квартира, 33,4 м², 2/9 этаж |3 190 000 ₽|Новосибирская область, Новосибирск, р-н Заельцовский, м. Площадь Гарина-Михайловского, улица Дуси Ковальчук, 2/1|https://novosibirsk.cian.ru/sale/flat/313516850/
2-комн. квартира, 93,33 м², 2/15 этаж Секция 4 • Сдача корпуса 3 кв. 2025|13 160 000 ₽|Новосибирская область, Новосибирск, р-н Заельцовский, мкр. Аэропорт, м. Заельцовская, улица Аэропорт, 88|https://novosibirsk.cian.ru/sale/flat/302096118/
Евро-трешка с видом на парк! 2-комн. квартира, 50 м², 14/22 этаж|10 990 000 ₽|Новосибирская область, Новосибирск, р-н Заельцовский, мкр. Аэропорт, м. Заельцовская, улица Аэропорт, 55/1|https://novosibirsk.cian.ru/sale/flat/310267020/
2-комн. квартира, 45 м², 15/25 этаж |8 500 000 ₽|Новосибирская область, Новосибирск, р-н Октябрьский, м. Золотая Нива, Гурьевская улица, 177|https://novosibirsk.cian.ru/sale/flat/313885612/
2-комн. квартира, 63,3 м², 8/17 этаж Секция 6 • Сдача корпуса 2 кв. 2026|10 330 000 ₽|Новосибирская область, Новосибирск, р-н Октябрьский, мкр. Европейский Берег|https://novosibirsk.cian.ru/sale/flat/299237508/
2-комн. квартира, 54 м², 5/9 этаж |4 950 000 ₽|Новосибирская область, Новосибирск, р-н Калининский, мкр. Снегири, м. Заельцовская, улица Рассветная, 10/1|https://novosibirsk.cian.ru/sale/flat/313452997/
1-комн. квартира, 32 м², 4/5 этаж |3 870 000 ₽|Новосибирская область, Новосибирск, р-н Заельцовский, м. Заельцовская, Каунасская улица, 1/1|https://novosibirsk.cian.ru/sale/flat/313502654/
2-комн. квартира, 42,64 м², 8/24 этаж Сдача корпуса 1 кв. 2026|7 700 000 ₽|Новосибирская область, Новосибирск, р-н Октябрьский, м. Октябрьская, Ленинградская улица, 104|https://novosibirsk.cian.ru/sale/flat/312556688/
